aUsers,aSet,aType,a1_Assign,a1_Opt12,a2_Compare,a2_EU,a2_CompareAnswers,a3_Estimate,a3_Answers1,a3_Answers2,a3_Answers3,a3_Answers4,a3_Answers5,a3_Answers6
395,66,IPPDiscrete,43/65/37/77/44/75,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,70/81/82/52/15/47,U/U/U/U/E/E,max/min/min/min/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
396,66,IPPContinuous,43/65/37/77/44/75,Opt1/Opt1/Opt1/Opt1/Opt2/Opt1,70/81/82/52/15/47,U/U/U/U/E/E,max/min/min/min/max/max,70/66/33/27/32/55,80/72/1/70/48/45,82/15/3/70/66/54,40/3/33/4/72/27,20/63/54/27/4/16,4/32/26/13/54/14,55/64/27/80/40/14
397,67,ScatterPlot,64/62/55/50/21/56,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,76/1/2/73/10/13,E/U/U/U/U/U,max/max/min/max/max/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
398,67,ScatterPlotColored,64/62/55/50/21/56,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,76/1/2/73/10/13,E/U/U/U/U/U,max/max/min/max/max/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
399,67,HeatMapDiscrete,64/62/55/50/21/56,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,76/1/2/73/10/13,E/U/U/U/U/U,max/max/min/max/max/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
400,67,HeatMapContinuous,64/62/55/50/21/56,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,76/1/2/73/10/13,E/U/U/U/U/U,max/max/min/max/max/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
401,67,IPPDiscrete,64/62/55/50/21/56,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,76/1/2/73/10/13,E/U/U/U/U/U,max/max/min/max/max/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
402,67,IPPContinuous,64/62/55/50/21/56,Opt2/Opt1/Opt1/Opt1/Opt2/Opt1,76/1/2/73/10/13,E/U/U/U/U/U,max/max/min/max/max/max,8/46/11/15/74/3,27/69/40/70/63/8,46/77/80/45/7/54,27/6/11/46/28/85,10/26/12/15/81/82,80/27/34/69/74/11,52/3/59/27/20/78
403,68,ScatterPlot,13/1/10/2/73/76,Opt1/Opt2/Opt1/Opt1/Opt2/Opt2,61/53/60/39/52/2,E/E/U/E/E/E,max/max/max/min/min/min,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
404,68,ScatterPlotColored,13/1/10/2/73/76,Opt1/Opt2/Opt1/Opt1/Opt2/Opt2,61/53/60/39/52/2,E/E/U/E/E/E,max/max/max/min/min/min,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
405,68,HeatMapDiscrete,13/1/10/2/73/76,Opt1/Opt2/Opt1/Opt1/Opt2/Opt2,61/53/60/39/52/2,E/E/U/E/E/E,max/max/max/min/min/min,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
406,68,HeatMapContinuous,13/1/10/2/73/76,Opt1/Opt2/Opt1/Opt1/Opt2/Opt2,61/53/60/39/52/2,E/E/U/E/E/E,max/max/max/min/min/min,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
407,68,IPPDiscrete,13/1/10/2/73/76,Opt1/Opt2/Opt1/Opt1/Opt2/Opt2,61/53/60/39/52/2,E/E/U/E/E/E,max/max/max/min/min/min,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
408,68,IPPContinuous,13/1/10/2/73/76,Opt1/Opt2/Opt1/Opt1/Opt2/Opt2,61/53/60/39/52/2,E/E/U/E/E/E,max/max/max/min/min/min,35/85/26/58/62/36,27/72/4/3/35/40,81/27/70/85/3/40,4/26/34/27/82/54,58/19/73/11/71/26,6/85/22/27/82/62,40/36/3/4/54/27
409,69,ScatterPlot,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,4/71/85/12/62/50,U/U/U/E/E/U,min/max/min/max/max/max,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
410,69,ScatterPlotColored,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,4/71/85/12/62/50,U/U/U/E/E/U,min/max/min/max/max/max,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
411,69,HeatMapDiscrete,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,4/71/85/12/62/50,U/U/U/E/E/U,min/max/min/max/max/max,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
412,69,HeatMapContinuous,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,4/71/85/12/62/50,U/U/U/E/E/U,min/max/min/max/max/max,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
413,69,IPPDiscrete,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,4/71/85/12/62/50,U/U/U/E/E/U,min/max/min/max/max/max,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
414,69,IPPContinuous,25/57/11/67/30/68,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,4/71/85/12/62/50,U/U/U/E/E/U,min/max/min/max/max/max,7/75/35/84/8/71,4/3/79/54/6/7,50/75/27/19/70/73,40/69/35/54/6/63,84/69/14/40/50/78,27/24/19/70/63/8,26/71/34/13/1/72
415,70,ScatterPlot,39/76/46/52/42/63,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,6/28/57/21/4/5,E/E/E/U/E/E,max/max/min/max/max/min,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
416,70,ScatterPlotColored,39/76/46/52/42/63,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,6/28/57/21/4/5,E/E/E/U/E/E,max/max/min/max/max/min,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
417,70,HeatMapDiscrete,39/76/46/52/42/63,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,6/28/57/21/4/5,E/E/E/U/E/E,max/max/min/max/max/min,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
418,70,HeatMapContinuous,39/76/46/52/42/63,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,6/28/57/21/4/5,E/E/E/U/E/E,max/max/min/max/max/min,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
419,70,IPPDiscrete,39/76/46/52/42/63,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,6/28/57/21/4/5,E/E/E/U/E/E,max/max/min/max/max/min,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
420,70,IPPContinuous,39/76/46/52/42/63,Opt1/Opt1/Opt1/Opt2/Opt1/Opt1,6/28/57/21/4/5,E/E/E/U/E/E,max/max/min/max/max/min,17/67/47/25/27/1,1/6/27/17/72/80,34/14/84/27/67/6,50/8/48/2/27/47,4/25/5/15/48/37,57/29/71/27/12/34,3/1/14/69/27/54
